"TABLE","TABLEDESC","BEGINYEAR","ENDYEAR","COMPONENT"
"DEMO_D","Demographic Variables & Sample Weights",2005,2006,"Demographics"
"DEMO_E","Demographic Variables & Sample Weights",2007,2008,"Demographics"
"DEMO_C","Demographic Variables & Sample Weights",2003,2004,"Demographics"
"DEMO_B","Demographic Variables & Sample Weights",2001,2002,"Demographics"
"DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics"
"DEMO_F","Demographic Variables & Sample Weights",2009,2010,"Demographics"
"LA_DEMO","Los Angeles County, California - Demographic Variables & Sample Weights",1999,2004,"Demographics"
"DEMO_G","Demographic Variables & Sample Weights",2011,2012,"Demographics"
"LDEMO_AD","Los Angeles County, California - Demographic Variables & Sample Weights",1999,2006,"Demographics"
"DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics"
"LDEMO_EH","Los Angeles County, California - Demographic Variables & Sample Weights",2007,2014,"Demographics"
"CDEMO_EH","California - Demographic Variables & Sample Weights",2007,2014,"Demographics"
"CDEMO_AD","California - Demographic Variables & Sample Weights",1999,2006,"Demographics"
"DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics"
"GEO_2000","Geocoded Data, NHANES 1999-2016, Census 2000",1999,2016,"Demographics"
"GEO_2010","Geocoded Data, NHANES 1999-2018, Census 2010",1999,2018,"Demographics"
"DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics"
"P_DEMO","Demographic Variables and Sample Weights",2017,2020,"Demographics"
"DEMO_K_R","Demographic Variables",2019,2020,"Demographics"
"GEO_2020","Geocoded Data, NHANES 1999-March 2020, Census 2020",1999,2020,"Demographics"
"DEMO_L","Demographic Variables and Sample Weights",2021,2023,"Demographics"
"DRXIFF","Dietary Interview - Individual Foods",1999,2000,"Dietary"
"DRXTOT","Dietary Interview - Total Nutrient Intakes",1999,2000,"Dietary"
"DSQFILE1","Dietary Supplement Use 30-Day - File 1, Supplement Counts",1999,2000,"Dietary"
"DRXTOT_B","Dietary Interview - Total Nutrient Intakes",2001,2002,"Dietary"
"DRXIFF_B","Dietary Interview - Individual Foods",2001,2002,"Dietary"
"FFQRAW_D","Food Frequency Questionnaire - Raw Questionnaire Responses",2005,2006,"Dietary"
"FFQDC_D","Food Frequency Questionnaire - Output from DietCalc Software",2005,2006,"Dietary"
"FFQRAW_C","Food Frequency Questionnaire - Raw Questionnaire Responses",2003,2004,"Dietary"
"FFQDC_C","Food Frequency Questionnaire - Output from DietCalc Software",2003,2004,"Dietary"
"DRXFCD_C","Dietary Interview Technical Support File - Food Codes",2003,2004,"Dietary"
"DSQFILE2","Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements",1999,2000,"Dietary"
"DR1TOT_C","Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,"Dietary"
"DR2TOT_C","Dietary Interview - Total Nutrient Intakes, Second Day",2003,2004,"Dietary"
"DR2IFF_C","Dietary Interview - Individual Foods, Second Day",2003,2004,"Dietary"
"DS2TOT_F","Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",2009,2010,"Dietary"
"DTQ_F","Dietary Screener Questionnaire",2009,2010,"Dietary"
"DR1IFF_C","Dietary Interview - Individual Foods, First Day",2003,2004,"Dietary"
"DS1IDS_F","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day",2009,2010,"Dietary"
"DS2IDS_F","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day",2009,2010,"Dietary"
"DSQIDS_F","Dietary Supplement Use 30 Day - Individual Dietary Supplements",2009,2010,"Dietary"
"DSQTOT_F","Dietary Supplement Use 30-Day - Total Dietary Supplements",2009,2010,"Dietary"
"DS1TOT_F","Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",2009,2010,"Dietary"
"DR1IFF_F","Dietary Interview - Individual Foods, First Day",2009,2010,"Dietary"
"DR2IFF_F","Dietary Interview - Individual Foods, Second Day",2009,2010,"Dietary"
"DR1TOT_F","Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,"Dietary"
"DR2TOT_F","Dietary Interview - Total Nutrient Intakes, Second Day",2009,2010,"Dietary"
"DRXFCD_F","Dietary Interview Technical Support File - Food Codes",2009,2010,"Dietary"
"DRXMCD_F","Dietary Interview Technical Support File - Modification Codes",2009,2010,"Dietary"
"DS1IDS_E","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day",2007,2008,"Dietary"
"DS2IDS_E","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day",2007,2008,"Dietary"
"DSQIDS_E","Dietary Supplement Use 30 Day - Individual Dietary Supplements",2007,2008,"Dietary"
"DSQTOT_E","Dietary Supplement Use 30-Day - Total Dietary Supplements",2007,2008,"Dietary"
"DS1TOT_E","Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",2007,2008,"Dietary"
"DS2TOT_E","Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",2007,2008,"Dietary"
