"Variable.Name","Variable.Description","Data.File.Name","Data.File.Description","Begin.Year","EndYear","Component","Use.Constraints","SourceTable"
"DMAETHN","Logical Imputation Flag for Ethnicity","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMARACE","Logical Imputation Flag for Race Recode","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDBORN","In what country {were you/was SP} born?","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDCITZN","{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Serv","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDEDUC","(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDEDUC2","(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDEDUC3","(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDHHSIZ","Total number of people in the Household","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDHRAGE","Age in years of the household reference person at the time of HH screening.  Individuals 85 and over are topcoded at 85 years of","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDHRBRN","In what country {were you/was NON-SP Head} born?","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDHREDU","What is the highest grade or level of school {you have/NON_SP HEAD has} received?","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDHRGND","Gender of the household reference person","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDHRMAR","Marital Status of household reference person","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDHSEDU","What is the highest grade or level of school {you have/NON-SP SPOUSE has completed or the highest degree {you have/he/she has} r","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDMARTL","Marital Status","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDSCHOL","{Are you/Is SP} now . . .","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMDYRSUS","Length of time SP has been in the US.","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
"DMQMILIT","Did {you/SP} ever serve in the Armed Forces of the United States?","DEMO","Demographic Variables & Sample Weights",1999,2000,"Demographics","None","DEMO"
